Segmented Element,Label,Dependecies
安森,PROPN,compound:nn
美半,PROPN,nsubj
導體,NOUN,dep
（,PUNCT,punct
ON,PUNCT,amod
Semiconductor,PUNCT,parataxis:prnmod
）,PUNCT,punct
，,PUNCT,punct
今天,NOUN,nmod:tmod
發表,VERB,ROOT
新,ADJ,amod
的,PART,case
RDM,PUNCT,punct
系列,NOUN,compound:nn
矽光,NOUN,compound:nn
電倍,NOUN,compound:nn
增管,NOUN,compound:nn
（,PUNCT,punct
SiPM,PUNCT,parataxis:prnmod
）,PUNCT,punct
陣列,NOUN,dobj
，,PUNCT,punct
將光,NOUN,compound:nn
學雷,NOUN,compound:nn
達,NOUN,compound:nn
（,PUNCT,punct
LiDAR,PUNCT,parataxis:prnmod
）,PUNCT,punct
感測器,NOUN,compound:nn
能力,NOUN,dep
擴展,VERB,conj
到,VERB,advmod:rcomp
其,PRON,dep
廣泛,ADJ,amod
的,PART,mark
智慧,NOUN,compound:nn
感測,NOUN,compound:nn
方案,NOUN,compound:nn
陣容,NOUN,dobj
。,PUNCT,punct
Array,PUNCT,punct
RDM,PUNCT,punct
-,NOUN,compound:nn
0112A20,PUNCT,punct
-,NOUN,nsubj
Q,PUNCT,dobj
FN,PUNCT,nsubj
是,VERB,cop
市場,NOUN,dep
上,PART,case
首款,NUM,dep
符合,VERB,acl
車規,NOUN,dobj
的,PART,mark
SiPM,PUNCT,punct
產品,NOUN,dobj
，,PUNCT,punct
以,PART,aux:prtmod
滿足,VERB,conj
汽車,NOUN,compound:nn
產業,NOUN,conj
及,CCONJ,cc
其他,DET,det
領域,NOUN,dep
LiDA,PUNCT,punct
R,PUNCT,punct
應用,NOUN,advmod:loc
中,PART,case
不,ADV,advmod
斷,ADV,advmod
增長,VERB,acl
的,PART,mark
需求,NOUN,dobj
。,PUNCT,ROOT
"

",SPACE,ROOT
Array,PUNCT,ROOT
RDM,PUNCT,ROOT
-,NOUN,compound:nn
0112A20,PUNCT,punct
-,NOUN,nsubj
Q,PUNCT,ROOT
FN,PUNCT,ROOT
是,VERB,cop
單片,NOUN,compound:nn
1,NUM,dep
×,NUM,dep
12,NUM,dep
SiPM,PUNCT,punct
像,NOUN,compound:nn
素陣列,NOUN,nsubj
，,PUNCT,punct
基於,VERB,conj
安森,PROPN,compound:nn
美半,PROPN,compound:nn
導體,NOUN,nsubj
領先,VERB,acl
市場,NOUN,dobj
的,PART,mark
RDM,PUNCT,compound:nn
製程,NOUN,dobj
，,PUNCT,punct
可,VERB,aux:modal
實現,VERB,conj
對近,ADP,case
紅外,NOUN,compound:nn
（,PUNCT,punct
NIR,PUNCT,parataxis:prnmod
）,PUNCT,punct
光,NOUN,nmod
的,PART,case
高靈,ADJ,amod
敏度,NOUN,dobj
，,PUNCT,punct
從,ADV,advmod
而,ADV,advmod
在,ADP,case
905,NUM,nmod:prep
奈,NUM,mark:clf
米,NUM,mark:clf
（,PUNCT,punct
nm,NOUN,dep
）,PUNCT,punct
處達,PART,conj
到,VERB,conj
領先,VERB,acl
業界,NOUN,dobj
的,PART,mark
18,NUM,dep
